No.,Query,Kategori Query,Rank,Article ID,Kategori Artikel,Judul Artikel,Abstrak,Similarity Score,Threshold Awal,Evaluator 1,Evaluator 2,Evaluator 3,Label Final,Status Final,Catatan Evaluator
11.0,machine learning,Machine Learning,11.0,33.0,machine learning,Using machine learning to detect misstatements,"… Intuitively, a machine learning algorithm can be taught to … Machine learning algorithms
capture the relationship … We also examine a number of alternative machine learning approaches …",0.35687948701661937,1.0,1.0,1.0,1.0,1,Relevan,
12.0,machine learning,Machine Learning,12.0,26.0,machine learning,What is machine learning?,"… that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human …",0.3378054830565449,1.0,1.0,1.0,1.0,1,Relevan,
13.0,machine learning,Machine Learning,13.0,44.0,machine learning,Causality for machine learning,"… for Machine Learning In spite of all recent successes, if we compare what machine learning
… This shortcoming is not too surprising since machine learning often disregards information …",0.33483656016051205,1.0,1.0,1.0,1.0,1,Relevan,
14.0,machine learning,Machine Learning,14.0,27.0,machine learning,Machine learning for microbiologists,"… how to evaluate a machine learning model and how … machine learning-based work. The
topics presented in this work will allow microbiologists to grasp the potential of machine learning …",0.3344222836205939,1.0,1.0,1.0,1.0,1,Relevan,
15.0,machine learning,Machine Learning,15.0,42.0,machine learning,A survey of human-in-the-loop for machine learning,"… posed by machine learning … machine learning. Human-in-the-loop is an area that we see
as increasingly important in future research due to the knowledge learned by machine learning …",0.32910487970137003,1.0,1.0,1.0,1.0,1,Relevan,
16.0,machine learning,Machine Learning,16.0,36.0,machine learning,Challenges in deploying machine learning: a survey of case studies,"… This survey reviews published reports of deploying machine learning … of the machine
learning deployment workflow. By mapping found challenges to the steps of the machine learning …",0.32116634635104657,1.0,1.0,1.0,1.0,1,Relevan,
17.0,machine learning,Machine Learning,17.0,10.0,machine learning,Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19,"… untuk penerapan Machine Learning di beberapa aplikasi dunia nyata di mana data dihasilkan
secara terus menerus [16]. Banyak metode Machine Learning … Machine Learning, kami …",0.32085862389797953,1.0,1.0,1.0,1.0,1,Relevan,
18.0,machine learning,Machine Learning,18.0,24.0,machine learning,"Penerapan artificial intelligence, machine learning dan deep learning pada Kurikulum Akuntansi-A systematic literature review","… implementing artificial intelligence, machine learning and deep learning in accounting
curriculum … New technologies such as artificial intelligence, machine learning and deep learning …",0.3204023122833379,1.0,1.0,1.0,1.0,1,Relevan,
19.0,machine learning,Machine Learning,19.0,46.0,machine learning,Machine learning for biochemical engineering: A review,"… use of machine learning within biochemical engineering over the last 20 years. The most
prevalent machine learning … Finally, core challenges into the application of machine learning in …",0.31725658414597124,1.0,1.0,1.0,1.0,1,Relevan,
20.0,machine learning,Machine Learning,20.0,31.0,machine learning,Financial machine learning,"… We survey the nascent literature on machine learning in the study of financial markets. We
… in grasping machine learning tools, as well as for statisticians and machine learners seeking …",0.3147388243089369,1.0,1.0,1.0,1.0,1,Relevan,
21.0,pembelajaran mesin,Machine Learning,1.0,116.0,mobile application,Aplikasi pembelajaran ilmu tajwid berbasis mobile,"… Tujuan dari penelitian ini adalah membuat aplikasi … Aplikasi pembelajaran ilmu tajwid
dirancang berdasarkan … Pengujian menggunakan metode black box testing menunjukan aplikasi …",0.348143255853918,1.0,0.0,1.0,0.0,0,Tidak relevan,
22.0,pembelajaran mesin,Machine Learning,2.0,153.0,web application,Penggunaan liveworksheet dengan aplikasi berbasis web untuk meningkatkan hasil belajar peserta didik,"… Hasil dari penelitian ini adalah penggunaan liveworksheet dengan aplikasi berbasis web
dapat meningkatkan hasil belajar peserta yaitu pada prasiklus dengan ketutasan klasikal …",0.33274129452994194,1.0,0.0,1.0,0.0,0,Tidak relevan,
23.0,pembelajaran mesin,Machine Learning,3.0,2.0,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,"… Machine Learning dapat mempelajari pola data historis yang ada, sehingga dengan
menggunakan metode machine learning … Hasil penelitian menunjukan bahwa Machine Learning …",0.20188131962013642,0.0,1.0,1.0,1.0,1,Relevan,
24.0,pembelajaran mesin,Machine Learning,4.0,14.0,machine learning,Penerapan Machine Learning dengan Algoritma Logistik Regresi untuk Memprediksi Diabetes,"Diabetes merupakan masalah kesehatan global yang signifikan, mempengaruhi kualitas
hidup individu dan menimbulkan beban ekonomi dan sosial. Machine Learning (Pembelajaran …",0.17415943957303168,0.0,1.0,1.0,1.0,1,Relevan,
25.0,pembelajaran mesin,Machine Learning,5.0,151.0,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …",0.15008116643486788,0.0,0.0,1.0,0.0,0,Tidak relevan,
26.0,data mining,Machine Learning,1.0,3.0,machine learning,"Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review","… the application of machine learning, deep learning, and data … provides evidence that machine
learning, deep learning, and … New technologies such as machine learning, deep learning, …",0.2608618310057043,0.0,1.0,1.0,1.0,1,Relevan,
27.0,data mining,Machine Learning,2.0,17.0,machine learning,Penerapan machine learning dengan algoritma support vector machine untuk prediksi kelembapan udara rata-rata,"… Machine learning dapat digunakan untuk memprediksi suatu data. Support Vector Machine
merupakan bagian dari teknik data mining yang dipergunakan untuk mengidentifikasi dan …",0.2451075330703789,0.0,1.0,1.0,1.0,1,Relevan,
28.0,data mining,Machine Learning,3.0,6.0,machine learning,Penerapan Machine Learning dengan Konsep Data Mining Rough Set (Prediksi Tingkat Pemahaman Mahasiswa terhadap Matakuliah),"Metode Rough Set (RS) merupakan bagian dari machine learning yang menganalisis
ketidakpastian dataset yang digunakan untuk menentukan atribut objek penting (klasifikasi). …",0.1993580330053523,0.0,1.0,1.0,1.0,1,Relevan,
29.0,data mining,Machine Learning,4.0,60.0,cyber security,Sistem Keamanan Siber dan Kedaulatan Data di Indonesia dalam Perspektif Ekonomi Politik (Studi Kasus Perlindungan Data Pribadi)[Cyber Security System and …,"… perlindungan data siber dan keamanan siber. Jaminan … digunakan dalam pembangunan
keamanan siber. Akan tetapi, … dalam pembangunan keamanan siber dan kedaulatan data …",0.13754044825158554,0.0,0.0,1.0,0.0,0,Tidak relevan,
30.0,data mining,Machine Learning,5.0,100.0,cyber security,Cyber risk and cybersecurity: a systematic review of data availability,"… cybersecurity and cyber risk management with a particular focus on data availability. From a
preliminary search resulting in 5219 cyber … We posit that the lack of available data on cyber …",0.10702862075027997,0.0,0.0,1.0,0.0,0,Tidak relevan,
31.0,data mining,Machine Learning,6.0,13.0,machine learning,Penerapan Machine Learning Untuk Mengategorikan Sampah Plastik Rumah Tangga,"… With the help of Machine Learning and Deep Learning, we … Machine learning dapat
diterapkan untuk mengolah data … Data yang tersimpan dalam Machine learning juga dapat …",0.09914841044864876,0.0,1.0,1.0,1.0,1,Relevan,
32.0,data mining,Machine Learning,7.0,53.0,cyber security,Data privasi dan keamanan siber pada smart-city: Tinjauan literatur,"… kebutuhan keamanan tidak mendukung. Maka dari itu, dalam penelitiannya menyarankan
mitigasi terbaik dalam hal keamanan siber dan data privasi menggunakan keamanan siber …",0.08375472415934634,0.0,0.0,1.0,0.0,0,Tidak relevan,
33.0,data mining,Machine Learning,8.0,184.0,web application,iDEP web application for RNA-seq data analysis,"… Through an example, we demonstrate how this web application democratizes access to
high-throughput technologies and help biologists pinpoint molecular pathways from large data. …",0.08216613540250313,0.0,1.0,0.0,0.0,0,Tidak relevan,
34.0,data mining,Machine Learning,9.0,10.0,machine learning,Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19,"… untuk penerapan Machine Learning di beberapa aplikasi dunia nyata di mana data dihasilkan
secara terus menerus [16]. Banyak metode Machine Learning … Machine Learning, kami …",0.07918673103086299,0.0,1.0,0.0,1.0,1,Relevan,
35.0,data mining,Machine Learning,10.0,175.0,web application,Pengujian aplikasi berbasis web data SKA menggunakan metode Black Box Testing,"… aplikasi adalah metode"" Black Box"", yang fokus pada pengujian fungsional tanpa memperhatikan
implementasi internal aplikasi … Pengujian ini akan dilakukan pada website Data SKA …",0.06970313935592362,0.0,0.0,1.0,0.0,0,Tidak relevan,
36.0,data mining,Machine Learning,11.0,185.0,web application,MiBiOmics: an interactive web application for multi-omics data exploration and integration,"… Here, we present MiBiOmics, a web-based and standalone application that facilitates
multi-omics data visualization, exploration, integration, and analysis by providing easy access to …",0.06294192132402429,0.0,1.0,1.0,1.0,1,Relevan,
37.0,data mining,Machine Learning,12.0,23.0,machine learning,Penerapan Metode Machine Learning dalam Mengidentifikasi Berita Hoaks,"… method using a machine learning approach on news data. … sources and applying machine
learning algorithms, including … The results of this research show that the machine learning …",0.04748771545584561,0.0,1.0,1.0,1.0,1,Relevan,
38.0,data mining,Machine Learning,13.0,2.0,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,"… Machine Learning dapat mempelajari pola data historis yang ada, sehingga dengan
menggunakan metode machine learning … Hasil penelitian menunjukan bahwa Machine Learning …",0.04716663367079165,0.0,1.0,1.0,1.0,1,Relevan,
39.0,data mining,Machine Learning,14.0,47.0,machine learning,Machine learning: new ideas and tools in environmental science and engineering,"… Machine learning has the potential to revolutionize data analysis and modeling in the …
shortcomings, challenges, and opportunities for applications of machine learning in the ESE field. …",0.046255447832196414,0.0,1.0,1.0,1.0,1,Relevan,
40.0,data mining,Machine Learning,15.0,65.0,cyber security,Pentingnya Keamanan Siber Dalam Era Digital:: Tinjauan Global Dan Kondisi Di Indonesia,"… dalam sistem keamanan siber yang bisa berdampak besar pada keamanan data strategis
negara. Penelitian ini bertujuan untuk menganalisis pentingnya keamanan siber dengan …",0.04562387732243851,0.0,0.0,1.0,0.0,0,Tidak relevan,
41.0,data mining,Machine Learning,16.0,75.0,cyber security,Keamanan siber di masa depan: Tantangan dan teknologi yang dibutuhkan,"… dan laporan terkini terkait keamanan siber. Hasil penelitian … berbasis blockchain dapat
memperkuat keamanan data. Selain itu… mutakhir dengan kebijakan keamanan siber yang adaptif …",0.04243546779619017,0.0,0.0,0.0,0.0,0,Tidak relevan,
42.0,data mining,Machine Learning,17.0,7.0,machine learning,Penerapan Metode Machine Learning dalam Klasifikasi Risiko Kejadian Berat Badan Lahir Rendah di Indonesia,"… akan mengkaji penerapan beberapa metode machine learning dengan memperhatikan
kasus imbalanced data dalam pemodelan klasifikasi. Adapun metode meachine learning yang …",0.041147825836340926,0.0,1.0,0.0,1.0,1,Relevan,
43.0,data mining,Machine Learning,18.0,168.0,web application,Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web,"… ini adalah sebuah aplikasi web untuk mengelola keanggotaan gym, yang dapat diakses
oleh admin dan pengguna melalui komputer atau perangkat mobile. Aplikasi ini dikembangkan …",0.040460094645195864,0.0,0.0,0.0,0.0,0,Tidak relevan,
44.0,data mining,Machine Learning,19.0,16.0,machine learning,Penerapan Machine Learning menggunakan algoritma C4. 5 berbasis PSO dalam Menganalisa Data Siswa Putus Sekolah,"Pendidikan sangat memegang peranan penting dalam meningkatkan kualitas Sumber
daya manusia yang ada di Indonesia. Untuk itu Pemerintah menggalakkan program wajib …",0.04025015711026727,0.0,1.0,0.0,1.0,1,Relevan,
45.0,data mining,Machine Learning,20.0,80.0,cyber security,A systematic literature review on the cyber security,"… of cyber security kinds, why cyber security is important, cyber security framework, cyber
security tools, and cyber security … Cyber security safeguards the data and integrity of computing …",0.037083581070486996,0.0,0.0,1.0,0.0,0,Tidak relevan,
46.0,web application,Web Application,1.0,197.0,web application,Open Lab: A web application for running and sharing online experiments,"… as a web application on a desktop computer (the “Install app” link is displayed in the top
navigation bar). Progressive web application technology makes the application accessible via …",0.34209112987201123,1.0,1.0,1.0,1.0,1,Relevan,
47.0,web application,Web Application,2.0,200.0,web application,A hybrid fuzzy rule-based multi-criteria framework for sustainable-security assessment of web application,"… an institutional web application to corroborate the efficiency of this approach. Despite the
web application's sensitivity, this study has used various versions of three web applications of …",0.33975722559152355,1.0,1.0,1.0,1.0,1,Relevan,
48.0,web application,Web Application,3.0,181.0,web application,DeepCrop: Deep learning-based crop disease prediction with web application,"… a smart web application for real-life crop disease prediction. The proposed web application
aims to … The proposed application uses the ResNet50 transfer learning model at its heart to …",0.31524655199067525,1.0,1.0,1.0,1.0,1,Relevan,
49.0,web application,Web Application,4.0,177.0,web application,A survey on web application penetration testing,"… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …",0.3087287054000197,1.0,1.0,1.0,1.0,1,Relevan,
50.0,web application,Web Application,5.0,195.0,web application,ML-CKDP: Machine learning-based chronic kidney disease prediction with smart web application,"… for CKD classification and to develop a web-based application for CKD prediction. The proposed
… Additionally, we present a real-time web-based application to operationalize the model, …",0.27911126701357525,0.0,1.0,1.0,1.0,1,Relevan,
51.0,web application,Web Application,6.0,188.0,web application,Machine learning based diabetes prediction and development of smart web application,"… We integrate this model in a web application using python flask web development framework.
The results of this study suggest that an appropriate preprocessing pipeline on clinical …",0.2702759180952803,0.0,1.0,1.0,1.0,1,Relevan,
52.0,web application,Web Application,7.0,193.0,web application,Securing web applications against XSS and SQLi attacks using a novel deep learning approach,"… all web application attacks, SQL injection and XSS attacks are common, which may lead to
severe damage to Web application data or web … for securing web applications from both cross-…",0.26520211304536795,0.0,1.0,0.0,1.0,1,Relevan,
53.0,web application,Web Application,8.0,180.0,web application,BEST: a web application for comprehensive biomarker exploration on large-scale data in solid tumors,"… Currently, several open-access web servers that allow users … Although these web applications
are valuable and broadly … (BEST), a web-based application for comprehensive biomarker …",0.24464809828126804,0.0,1.0,1.0,1.0,1,Relevan,
54.0,web application,Web Application,9.0,199.0,web application,From prompt injections to sql injection attacks: How protected is your llm-integrated web application?,"… If an application remains vulnerable to these threats, the … -integrated applications, and what
is their impact on application security? To study this question, we focus on web applications …",0.23668183079062327,0.0,1.0,1.0,1.0,1,Relevan,
55.0,web application,Web Application,10.0,178.0,web application,A comparative study of web application security parameters: Current trends and future directions,"… in the use of web applications. Businesses, industries, … web applications. This mammoth
rise in their usage has also resulted in many security issues that make these web applications …",0.23048898806579743,0.0,1.0,0.0,1.0,1,Relevan,
56.0,web application,Web Application,11.0,191.0,web application,Signature-based and machine-learning-based web application firewalls: A short survey,"… web applications typically relied on the simple common gateway interface, CGI, protocol
which spawned C or Perl programs. Attacks were concentrated at underlying web … web server …",0.2224732354925617,0.0,1.0,1.0,1.0,1,Relevan,
57.0,web application,Web Application,12.0,134.0,mobile application,Deep learning methods for accurate skin cancer recognition and mobile application,"… to be used in a mobile application. To be able to build an effective mobile application, it is …
for our mobile application to be able to classify skin lesions using a common smartphone. …",0.22107413308337276,0.0,0.0,1.0,0.0,0,Tidak relevan,
58.0,web application,Web Application,13.0,189.0,web application,A systematic literature review on the characteristics and effectiveness of web application vulnerability scanners,"… web applications. Theses scanners have the capability of automatically evaluating the security
of web applications … analysts discover vulnerabilities in web applications. However, these …",0.21903065517760797,0.0,1.0,0.0,1.0,1,Relevan,
59.0,web application,Web Application,14.0,194.0,web application,DeepVenn--a web application for the creation of area-proportional Venn diagrams using the deep learning framework Tensorflow. js,"… , and others are not available as a web application or accept only numbers and not lists of
… Results: The DeepVenn web application can create area-proportional Venn diagrams of up …",0.21616888528763564,0.0,1.0,1.0,1.0,1,Relevan,
60.0,web application,Web Application,15.0,184.0,web application,iDEP web application for RNA-seq data analysis,"… Through an example, we demonstrate how this web application democratizes access to
high-throughput technologies and help biologists pinpoint molecular pathways from large data. …",0.20875644036015994,0.0,1.0,1.0,1.0,1,Relevan,
61.0,web application,Web Application,16.0,187.0,web application,Development of interactive biological web applications with R/Shiny,"… web techniques used to build biological web applications in recent studies To get a full picture
of the web techniques utilized to build biological web applications … issues of web servers …",0.20454624320738882,0.0,1.0,1.0,1.0,1,Relevan,
62.0,web application,Web Application,17.0,192.0,web application,Atomistica. online–web application for generating input files for ORCA molecular modelling package made with the Anvil platform,"… We present the atomistica.online, a web application for … allows the development of web
applications using only Python … , they are not available as online applications. In this work, we …",0.20084818473403226,0.0,1.0,1.0,1.0,1,Relevan,
63.0,web application,Web Application,18.0,176.0,web application,Web application development with streamlit,"… web applications of their own, from the most basic use cases to crafting complex and distributed
applications on … should be able to interface their web applications with robust server-side …",0.1920798561127956,0.0,1.0,1.0,1.0,1,Relevan,
64.0,web application,Web Application,19.0,151.0,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …",0.18920833858774433,0.0,1.0,1.0,1.0,1,Relevan,
65.0,web application,Web Application,20.0,141.0,mobile application,Towards a new learning experience through a mobile application with augmented reality in engineering education,"… The application of augmented reality (AR) in education … effect of an augmented reality mobile
application (NetAR) that … established to work with the application for three weeks for three …",0.1892015101436629,0.0,0.0,1.0,0.0,0,Tidak relevan,
66.0,aplikasi web,Web Application,1.0,167.0,web application,Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop,"… Web adalah suatu layanan atau kumpulan halaman yang berisi informasi, iklan, serta program
aplikasi yang … adalah sebuah aplikasi pendukung untuk membuka software aplikasi web …",0.33959877265488225,1.0,1.0,1.0,1.0,1,Relevan,
67.0,aplikasi web,Web Application,2.0,155.0,web application,Analisis Keretanan Website Dengan Aplikasi Owasp Zap,"… dirancang khusus untuk menguji aplikasi web dan fleksibel serta dapat … dan aplikasi web
sehingga dapat mencegat dan memeriksa pesan yang dikirim antara browser dan aplikasi web…",0.33895946779633823,1.0,1.0,1.0,1.0,1,Relevan,
68.0,aplikasi web,Web Application,3.0,158.0,web application,Pengembangan Aplikasi Berbasis Web dan Android Sebagai Penunjang Kerja di Indonesia: Systematic Literature Review,"… aplikasi digunakan di Indonesia untuk mendukung kegiatan baik pemerintah maupun swasta.
Makalah jurnal yang mencakup pembuatan aplikasi berbasis web … aplikasi berbasis web …",0.33219499062510516,1.0,1.0,1.0,1.0,1,Relevan,
69.0,aplikasi web,Web Application,4.0,157.0,web application,Rancang bangun aplikasi penjualan online berbasis web menggunakan metode scrum,"… aplikasi ini juga tidak banyak. Tujuan dari penelitian ini adalah untuk merancang dan
membangun aplikasi penjualan online berbasis web … Hasil penelitian ini adalah sebuah aplikasi …",0.3238109439196503,1.0,1.0,1.0,1.0,1,Relevan,
70.0,aplikasi web,Web Application,5.0,164.0,web application,Penerapan Metode Waterfall Pada Aplikasi Reservasi Lapangan Futsal Berbasis Web,"… Hasil dari penelitian ini berupa sebuah aplikasi berbasis web yang … Aplikasi yang telah
dibuat dapat berjalan dengan baik. Kata Kunci: Aplikasi; Black Box; Penjadwalan; Waterfall; Web …",0.3224604427265338,1.0,1.0,1.0,1.0,1,Relevan,
71.0,aplikasi web,Web Application,6.0,171.0,web application,Digitalisasi Usaha Mikro Kecil Dan Menengah Di Desa Melalui Aplikasi Kede Desa Berbasis Web,"… penjualan melalui sistem yang berbasis web. Aplikasi Web dapat berjalan pada jaringan …
dalam akses adalah ciri utama yang membuat Aplikasi Web lebih banyak diminati dan lebih …",0.3118148024636841,1.0,1.0,1.0,1.0,1,Relevan,
72.0,aplikasi web,Web Application,7.0,151.0,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …",0.2859431489504143,0.0,1.0,1.0,1.0,1,Relevan,
73.0,aplikasi web,Web Application,8.0,162.0,web application,Rancang Bangun Aplikasi Penjualan Kebutuhan Pokok Berbasis Web Pada Toko Khansaa,"… belum adanya aplikasi penjualan berbasis web kebutuhan … bangun aplikasi penjualan
kebutuhan pokok berbasis web di … ini adalah sebuah aplikasi penjualan berbasis web di toko …",0.2836153108722801,0.0,1.0,1.0,1.0,1,Relevan,
74.0,aplikasi web,Web Application,9.0,165.0,web application,Implementasi Web Service Sebagai Penyedia Informasi Untuk Aplikasi Pengelolaan Jadwal Pemberian Pakan Ikan (Studi Kasus: Pokdakan Karya Bersama),"… solusi dengan membangun web service sebagai … web service. Hasil dari penelitian ini
adalah pengembangan sistem layanan web yang mampu memberikan informasi untuk aplikasi …",0.24579097466959393,0.0,1.0,1.0,1.0,1,Relevan,
75.0,aplikasi web,Web Application,10.0,163.0,web application,Aplikasi Marketplace Pendamping Wisata Dengan Api Maps Berbasis Mobile Dan Web,"… Salah satu keuntungan membangun aplikasi berbasis website adalah karena website tidak
… terhadap aplikasi web, karena pengguna mengakses server tempat website diletakkan …",0.2451758207582827,0.0,1.0,1.0,1.0,1,Relevan,
76.0,aplikasi web,Web Application,11.0,161.0,web application,Rancang bangun aplikasi e-cuti pegawai berbasis website (studi kasus: Pengadilan Tata Usaha Negara),"… Aplikasi yang direncanakan dalam bentuk website ini … Aplikasi web adalah suatu sistem
informasi yang mendukung interaksi dengan pengguna melalui antarmuka berbasis web. …",0.23480506186585465,0.0,1.0,1.0,1.0,1,Relevan,
77.0,aplikasi web,Web Application,12.0,187.0,web application,Development of interactive biological web applications with R/Shiny,"… web techniques used to build biological web applications in recent studies To get a full picture
of the web techniques utilized to build biological web applications … issues of web servers …",0.23125831046553202,0.0,1.0,0.0,1.0,1,Relevan,
78.0,aplikasi web,Web Application,13.0,154.0,web application,Pembuatan aplikasi penjualan berbasis web monja store menggunakan php dan mysql,"… software ataupun tampilan website dengan lebih mudah, cepat, dan … Gunakan aplikasi web
server ini sebagai tools bantuan … website perancangan aplikasi penjualan berbasis website …",0.22702140831446205,0.0,1.0,1.0,1.0,1,Relevan,
79.0,aplikasi web,Web Application,14.0,168.0,web application,Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web,"… ini adalah sebuah aplikasi web untuk mengelola keanggotaan gym, yang dapat diakses
oleh admin dan pengguna melalui komputer atau perangkat mobile. Aplikasi ini dikembangkan …",0.2233982810935458,0.0,1.0,1.0,1.0,1,Relevan,
80.0,aplikasi web,Web Application,15.0,107.0,mobile application,Aplikasi Mobile JKN Edukasi Tentang Penggunaan Aplikasi Mobile JKN Pada Pasien Rawat Jalan RSUD Anugerah Tomohon,"… kurangnya pengetahuan masyarakat mengenai penggunaan aplikasi Mobile JKN. Selain
itu… , aplikasi Mobile JKN merupakan aplikasi yang dapat digunakan pada smartphone. Aplikasi …",0.22058237318263002,0.0,0.0,1.0,0.0,0,Tidak relevan,
81.0,aplikasi web,Web Application,16.0,160.0,web application,Rancang Bangun Web Service Api Aplikasi Sentralisasi Produk Umkm Pada Uptd Plut Kumkm Provinsi Lampung,"… Penelitian ini dilakukan untuk membuat sebuah aplikasi atau sistem yang dapat … aplikasi
ini menggunakan metode Web Service API, yang akan menghubungkan antara website …",0.2199641330001492,0.0,1.0,1.0,1.0,1,Relevan,
82.0,aplikasi web,Web Application,17.0,177.0,web application,A survey on web application penetration testing,"… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …",0.20812538674796205,0.0,1.0,1.0,1.0,1,Relevan,
83.0,aplikasi web,Web Application,18.0,159.0,web application,Perancangan Aplikasi Pemesanan Makanan Berbasis Web,"… berbasis web. Aplikasi ini membuat rancangan menu makanan dilengkapi dengan tampilan
gambar dan daftar harga yang sesuai dengan jenis makanan yang tersedia. Aplikasi ini …",0.20670199997035615,0.0,1.0,1.0,1.0,1,Relevan,
84.0,aplikasi web,Web Application,19.0,109.0,mobile application,Tingkat kepuasan masyarakat terhadap pendaftaran online pada aplikasi Mobile JKN,"… mudah menggunakan aplikasi, dan puas karena fitur yang ada pada aplikasi lengkap, hal
… ini di analogikan aplikasi dan kelengkapan fitur aplikasi mobile JKN memiliki pengaruh …",0.2052784472539655,0.0,0.0,1.0,0.0,0,Tidak relevan,
