No.,Query,Kategori Query,Rank,Article ID,Kategori Artikel,Judul Artikel,Abstrak,Similarity Score,Threshold Awal,Evaluator 1,Evaluator 2,Evaluator 3,Label Final,Status Final,Catatan Evaluator,Article ID (Old),ID Match
11,machine learning,Machine Learning,11,9,machine learning,Using machine learning to detect misstatements,"… Intuitively, a machine learning algorithm can be taught to … Machine learning algorithms
capture the relationship … We also examine a number of alternative machine learning approaches …","0,356879",1,1,1,1.0,1,Relevan,,33,Matched
12,machine learning,Machine Learning,12,1,machine learning,What is machine learning?,"… that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human …","0,337805",1,1,1,1.0,1,Relevan,,26,Matched
13,machine learning,Machine Learning,13,24,machine learning,Causality for machine learning,"… for Machine Learning In spite of all recent successes, if we compare what machine learning
… This shortcoming is not too surprising since machine learning often disregards information …","0,334837",1,1,1,1.0,1,Relevan,,44,Matched
14,machine learning,Machine Learning,14,27,machine learning,Machine learning for microbiologists,"… how to evaluate a machine learning model and how … machine learning-based work. The
topics presented in this work will allow microbiologists to grasp the potential of machine learning …","0,334422",1,1,1,1.0,1,Relevan,,27,Unmatched
15,machine learning,Machine Learning,15,18,machine learning,A survey of human-in-the-loop for machine learning,"… posed by machine learning … machine learning. Human-in-the-loop is an area that we see
as increasingly important in future research due to the knowledge learned by machine learning …","0,329105",1,1,1,1.0,1,Relevan,,42,Matched
16,machine learning,Machine Learning,16,36,machine learning,Challenges in deploying machine learning: a survey of case studies,"… This survey reviews published reports of deploying machine learning … of the machine
learning deployment workflow. By mapping found challenges to the steps of the machine learning …","0,321166",1,1,1,1.0,1,Relevan,,36,Unmatched
17,machine learning,Machine Learning,17,36,machine learning,Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19,"… untuk penerapan Machine Learning di beberapa aplikasi dunia nyata di mana data dihasilkan
secara terus menerus [16]. Banyak metode Machine Learning … Machine Learning, kami …","0,320859",1,1,1,1.0,1,Relevan,,10,Matched
18,machine learning,Machine Learning,18,24,machine learning,"Penerapan artificial intelligence, machine learning dan deep learning pada Kurikulum Akuntansi-A systematic literature review","… implementing artificial intelligence, machine learning and deep learning in accounting
curriculum … New technologies such as artificial intelligence, machine learning and deep learning …","0,320402",1,1,1,1.0,1,Relevan,,24,Unmatched
19,machine learning,Machine Learning,19,46,machine learning,Machine learning for biochemical engineering: A review,"… use of machine learning within biochemical engineering over the last 20 years. The most
prevalent machine learning … Finally, core challenges into the application of machine learning in …","0,317257",1,1,1,1.0,1,Relevan,,46,Unmatched
20,machine learning,Machine Learning,20,31,machine learning,Financial machine learning,"… We survey the nascent literature on machine learning in the study of financial markets. We
… in grasping machine learning tools, as well as for statisticians and machine learners seeking …","0,314739",1,1,1,1.0,1,Relevan,,31,Unmatched
21,pembelajaran mesin,Machine Learning,1,148,mobile application,Aplikasi pembelajaran ilmu tajwid berbasis mobile,"… Tujuan dari penelitian ini adalah membuat aplikasi … Aplikasi pembelajaran ilmu tajwid
dirancang berdasarkan … Pengujian menggunakan metode black box testing menunjukan aplikasi …","0,348143",1,1,1,1.0,1,Relevan,,116,Matched
22,pembelajaran mesin,Machine Learning,2,78,web application,Penggunaan liveworksheet dengan aplikasi berbasis web untuk meningkatkan hasil belajar peserta didik,"… Hasil dari penelitian ini adalah penggunaan liveworksheet dengan aplikasi berbasis web
dapat meningkatkan hasil belajar peserta yaitu pada prasiklus dengan ketutasan klasikal …","0,332741",1,1,1,1.0,1,Relevan,,153,Matched
23,pembelajaran mesin,Machine Learning,3,27,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,"… Machine Learning dapat mempelajari pola data historis yang ada, sehingga dengan
menggunakan metode machine learning … Hasil penelitian menunjukan bahwa Machine Learning …","0,201881",0,1,1,1.0,1,Relevan,,2,Matched
24,pembelajaran mesin,Machine Learning,4,40,machine learning,Penerapan Machine Learning dengan Algoritma Logistik Regresi untuk Memprediksi Diabetes,"Diabetes merupakan masalah kesehatan global yang signifikan, mempengaruhi kualitas
hidup individu dan menimbulkan beban ekonomi dan sosial. Machine Learning (Pembelajaran …","0,174159",0,1,1,1.0,1,Relevan,,14,Matched
25,pembelajaran mesin,Machine Learning,5,76,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …","0,150081",0,0,1,0.0,0,Tidak Relevan,,151,Matched
26,data mining,Machine Learning,1,28,machine learning,"Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review","… the application of machine learning, deep learning, and data … provides evidence that machine
learning, deep learning, and … New technologies such as machine learning, deep learning, …","0,260862",0,1,0,1.0,1,Relevan,,3,Matched
27,data mining,Machine Learning,2,43,machine learning,Penerapan machine learning dengan algoritma support vector machine untuk prediksi kelembapan udara rata-rata,"… Machine learning dapat digunakan untuk memprediksi suatu data. Support Vector Machine
merupakan bagian dari teknik data mining yang dipergunakan untuk mengidentifikasi dan …","0,245108",0,1,1,1.0,1,Relevan,,17,Matched
28,data mining,Machine Learning,3,31,machine learning,Penerapan Machine Learning dengan Konsep Data Mining Rough Set (Prediksi Tingkat Pemahaman Mahasiswa terhadap Matakuliah),"Metode Rough Set (RS) merupakan bagian dari machine learning yang menganalisis
ketidakpastian dataset yang digunakan untuk menentukan atribut objek penting (klasifikasi). …","0,199358",0,1,1,1.0,1,Relevan,,6,Matched
29,data mining,Machine Learning,4,186,cyber security,Sistem Keamanan Siber dan Kedaulatan Data di Indonesia dalam Perspektif Ekonomi Politik (Studi Kasus Perlindungan Data Pribadi)[Cyber Security System and …,"… perlindungan data siber dan keamanan siber. Jaminan … digunakan dalam pembangunan
keamanan siber. Akan tetapi, … dalam pembangunan keamanan siber dan kedaulatan data …","0,13754",0,0,1,0.0,0,Tidak Relevan,,60,Matched
30,data mining,Machine Learning,5,175,cyber security,Cyber risk and cybersecurity: a systematic review of data availability,"… cybersecurity and cyber risk management with a particular focus on data availability. From a
preliminary search resulting in 5219 cyber … We posit that the lack of available data on cyber …","0,107029",0,0,1,0.0,0,Tidak Relevan,,100,Matched
31,data mining,Machine Learning,6,38,machine learning,Penerapan Machine Learning Untuk Mengategorikan Sampah Plastik Rumah Tangga,"… With the help of Machine Learning and Deep Learning, we … Machine learning dapat
diterapkan untuk mengolah data … Data yang tersimpan dalam Machine learning juga dapat …","0,099148",0,1,0,1.0,1,Relevan,,13,Matched
32,data mining,Machine Learning,7,178,cyber security,Data privasi dan keamanan siber pada smart-city: Tinjauan literatur,"… kebutuhan keamanan tidak mendukung. Maka dari itu, dalam penelitiannya menyarankan
mitigasi terbaik dalam hal keamanan siber dan data privasi menggunakan keamanan siber …","0,083755",0,0,1,0.0,0,Tidak Relevan,,53,Matched
33,data mining,Machine Learning,8,59,web application,iDEP web application for RNA-seq data analysis,"… Through an example, we demonstrate how this web application democratizes access to
high-throughput technologies and help biologists pinpoint molecular pathways from large data. …","0,082166",0,0,0,0.0,0,Tidak Relevan,,184,Matched
34,data mining,Machine Learning,9,36,machine learning,Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19,"… untuk penerapan Machine Learning di beberapa aplikasi dunia nyata di mana data dihasilkan
secara terus menerus [16]. Banyak metode Machine Learning … Machine Learning, kami …","0,079187",0,1,1,1.0,1,Relevan,,10,Matched
35,data mining,Machine Learning,10,97,web application,Pengujian aplikasi berbasis web data SKA menggunakan metode Black Box Testing,"… aplikasi adalah metode"" Black Box"", yang fokus pada pengujian fungsional tanpa memperhatikan
implementasi internal aplikasi … Pengujian ini akan dilakukan pada website Data SKA …","0,069703",0,0,1,0.0,0,Tidak Relevan,,175,Matched
36,data mining,Machine Learning,11,60,web application,MiBiOmics: an interactive web application for multi-omics data exploration and integration,"… Here, we present MiBiOmics, a web-based and standalone application that facilitates
multi-omics data visualization, exploration, integration, and analysis by providing easy access to …","0,062942",0,0,1,0.0,0,Tidak Relevan,,185,Matched
37,data mining,Machine Learning,12,49,machine learning,Penerapan Metode Machine Learning dalam Mengidentifikasi Berita Hoaks,"… method using a machine learning approach on news data. … sources and applying machine
learning algorithms, including … The results of this research show that the machine learning …","0,047488",0,1,1,1.0,1,Relevan,,23,Matched
38,data mining,Machine Learning,13,27,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,"… Machine Learning dapat mempelajari pola data historis yang ada, sehingga dengan
menggunakan metode machine learning … Hasil penelitian menunjukan bahwa Machine Learning …","0,047167",0,1,1,1.0,1,Relevan,,2,Matched
39,data mining,Machine Learning,14,25,machine learning,Machine learning: new ideas and tools in environmental science and engineering,"… Machine learning has the potential to revolutionize data analysis and modeling in the …
shortcomings, challenges, and opportunities for applications of machine learning in the ESE field. …","0,046255",0,1,0,1.0,1,Relevan,,47,Matched
40,data mining,Machine Learning,15,190,cyber security,Pentingnya Keamanan Siber Dalam Era Digital:: Tinjauan Global Dan Kondisi Di Indonesia,"… dalam sistem keamanan siber yang bisa berdampak besar pada keamanan data strategis
negara. Penelitian ini bertujuan untuk menganalisis pentingnya keamanan siber dengan …","0,045624",0,0,1,0.0,0,Tidak Relevan,,65,Matched
41,data mining,Machine Learning,16,199,cyber security,Keamanan siber di masa depan: Tantangan dan teknologi yang dibutuhkan,"… dan laporan terkini terkait keamanan siber. Hasil penelitian … berbasis blockchain dapat
memperkuat keamanan data. Selain itu… mutakhir dengan kebijakan keamanan siber yang adaptif …","0,042435",0,0,1,0.0,0,Tidak Relevan,,75,Matched
42,data mining,Machine Learning,17,32,machine learning,Penerapan Metode Machine Learning dalam Klasifikasi Risiko Kejadian Berat Badan Lahir Rendah di Indonesia,"… akan mengkaji penerapan beberapa metode machine learning dengan memperhatikan
kasus imbalanced data dalam pemodelan klasifikasi. Adapun metode meachine learning yang …","0,041148",0,1,0,1.0,1,Relevan,,7,Matched
43,data mining,Machine Learning,18,92,web application,Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web,"… ini adalah sebuah aplikasi web untuk mengelola keanggotaan gym, yang dapat diakses
oleh admin dan pengguna melalui komputer atau perangkat mobile. Aplikasi ini dikembangkan …","0,04046",0,0,1,0.0,0,Tidak Relevan,,168,Matched
44,data mining,Machine Learning,19,42,machine learning,Penerapan Machine Learning menggunakan algoritma C4. 5 berbasis PSO dalam Menganalisa Data Siswa Putus Sekolah,"Pendidikan sangat memegang peranan penting dalam meningkatkan kualitas Sumber
daya manusia yang ada di Indonesia. Untuk itu Pemerintah menggalakkan program wajib …","0,04025",0,1,0,1.0,1,Relevan,,16,Matched
45,data mining,Machine Learning,20,155,cyber security,A systematic literature review on the cyber security,"… of cyber security kinds, why cyber security is important, cyber security framework, cyber
security tools, and cyber security … Cyber security safeguards the data and integrity of computing …","0,037084",0,0,0,0.0,0,Tidak Relevan,,80,Matched
46,web application,Web Application,1,73,web application,Open Lab: A web application for running and sharing online experiments,"… as a web application on a desktop computer (the “Install app” link is displayed in the top
navigation bar). Progressive web application technology makes the application accessible via …","0,342091",1,1,0,1.0,1,Relevan,,197,Matched
47,web application,Web Application,2,200,web application,A hybrid fuzzy rule-based multi-criteria framework for sustainable-security assessment of web application,"… an institutional web application to corroborate the efficiency of this approach. Despite the
web application's sensitivity, this study has used various versions of three web applications of …","0,339757",1,1,0,1.0,1,Relevan,,200,Unmatched
48,web application,Web Application,3,56,web application,DeepCrop: Deep learning-based crop disease prediction with web application,"… a smart web application for real-life crop disease prediction. The proposed web application
aims to … The proposed application uses the ResNet50 transfer learning model at its heart to …","0,315247",1,1,0,1.0,1,Relevan,,181,Matched
49,web application,Web Application,4,52,web application,A survey on web application penetration testing,"… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …","0,308729",1,1,0,1.0,1,Relevan,,177,Matched
50,web application,Web Application,5,71,web application,ML-CKDP: Machine learning-based chronic kidney disease prediction with smart web application,"… for CKD classification and to develop a web-based application for CKD prediction. The proposed
… Additionally, we present a real-time web-based application to operationalize the model, …","0,279111",0,1,1,1.0,1,Relevan,,195,Matched
51,web application,Web Application,6,63,web application,Machine learning based diabetes prediction and development of smart web application,"… We integrate this model in a web application using python flask web development framework.
The results of this study suggest that an appropriate preprocessing pipeline on clinical …","0,270276",0,1,0,1.0,1,Relevan,,188,Matched
52,web application,Web Application,7,69,web application,Securing web applications against XSS and SQLi attacks using a novel deep learning approach,"… all web application attacks, SQL injection and XSS attacks are common, which may lead to
severe damage to Web application data or web … for securing web applications from both cross-…","0,265202",0,1,1,1.0,1,Relevan,,193,Matched
53,web application,Web Application,8,55,web application,BEST: a web application for comprehensive biomarker exploration on large-scale data in solid tumors,"… Currently, several open-access web servers that allow users … Although these web applications
are valuable and broadly … (BEST), a web-based application for comprehensive biomarker …","0,244648",0,1,1,1.0,1,Relevan,,180,Matched
54,web application,Web Application,9,199,web application,From prompt injections to sql injection attacks: How protected is your llm-integrated web application?,"… If an application remains vulnerable to these threats, the … -integrated applications, and what
is their impact on application security? To study this question, we focus on web applications …","0,236682",0,1,0,1.0,1,Relevan,,199,Unmatched
55,web application,Web Application,10,53,web application,A comparative study of web application security parameters: Current trends and future directions,"… in the use of web applications. Businesses, industries, … web applications. This mammoth
rise in their usage has also resulted in many security issues that make these web applications …","0,230489",0,1,0,1.0,1,Relevan,,178,Matched
56,web application,Web Application,11,67,web application,Signature-based and machine-learning-based web application firewalls: A short survey,"… web applications typically relied on the simple common gateway interface, CGI, protocol
which spawned C or Perl programs. Attacks were concentrated at underlying web … web server …","0,222473",0,1,0,1.0,1,Relevan,,191,Matched
57,web application,Web Application,12,111,mobile application,Deep learning methods for accurate skin cancer recognition and mobile application,"… to be used in a mobile application. To be able to build an effective mobile application, it is …
for our mobile application to be able to classify skin lesions using a common smartphone. …","0,221074",0,0,1,1.0,1,Relevan,,134,Matched
58,web application,Web Application,13,64,web application,A systematic literature review on the characteristics and effectiveness of web application vulnerability scanners,"… web applications. Theses scanners have the capability of automatically evaluating the security
of web applications … analysts discover vulnerabilities in web applications. However, these …","0,219031",0,1,1,1.0,1,Relevan,,189,Matched
59,web application,Web Application,14,70,web application,DeepVenn--a web application for the creation of area-proportional Venn diagrams using the deep learning framework Tensorflow. js,"… , and others are not available as a web application or accept only numbers and not lists of
… Results: The DeepVenn web application can create area-proportional Venn diagrams of up …","0,216169",0,1,1,1.0,1,Relevan,,194,Matched
60,web application,Web Application,15,59,web application,iDEP web application for RNA-seq data analysis,"… Through an example, we demonstrate how this web application democratizes access to
high-throughput technologies and help biologists pinpoint molecular pathways from large data. …","0,208756",0,1,1,1.0,1,Relevan,,184,Matched
61,web application,Web Application,16,62,web application,Development of interactive biological web applications with R/Shiny,"… web techniques used to build biological web applications in recent studies To get a full picture
of the web techniques utilized to build biological web applications … issues of web servers …","0,204546",0,1,0,1.0,1,Relevan,,187,Matched
62,web application,Web Application,17,68,web application,Atomistica. online–web application for generating input files for ORCA molecular modelling package made with the Anvil platform,"… We present the atomistica.online, a web application for … allows the development of web
applications using only Python … , they are not available as online applications. In this work, we …","0,200848",0,1,0,1.0,1,Relevan,,192,Matched
63,web application,Web Application,18,51,web application,Web application development with streamlit,"… web applications of their own, from the most basic use cases to crafting complex and distributed
applications on … should be able to interface their web applications with robust server-side …","0,19208",0,1,1,1.0,1,Relevan,,176,Matched
64,web application,Web Application,19,76,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …","0,189208",0,1,1,1.0,1,Relevan,,151,Matched
65,web application,Web Application,20,141,mobile application,Towards a new learning experience through a mobile application with augmented reality in engineering education,"… The application of augmented reality (AR) in education … effect of an augmented reality mobile
application (NetAR) that … established to work with the application for three weeks for three …","0,189202",0,0,0,1.0,0,Tidak Relevan,,141,Unmatched
66,aplikasi web,Web Application,1,91,web application,Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop,"… Web adalah suatu layanan atau kumpulan halaman yang berisi informasi, iklan, serta program
aplikasi yang … adalah sebuah aplikasi pendukung untuk membuka software aplikasi web …","0,339599",1,1,1,1.0,1,Relevan,,167,Matched
67,aplikasi web,Web Application,2,80,web application,Analisis Keretanan Website Dengan Aplikasi Owasp Zap,"… dirancang khusus untuk menguji aplikasi web dan fleksibel serta dapat … dan aplikasi web
sehingga dapat mencegat dan memeriksa pesan yang dikirim antara browser dan aplikasi web…","0,338959",1,1,1,1.0,1,Relevan,,155,Matched
68,aplikasi web,Web Application,3,83,web application,Pengembangan Aplikasi Berbasis Web dan Android Sebagai Penunjang Kerja di Indonesia: Systematic Literature Review,"… aplikasi digunakan di Indonesia untuk mendukung kegiatan baik pemerintah maupun swasta.
Makalah jurnal yang mencakup pembuatan aplikasi berbasis web … aplikasi berbasis web …","0,332195",1,1,1,1.0,1,Relevan,,158,Matched
69,aplikasi web,Web Application,4,82,web application,Rancang bangun aplikasi penjualan online berbasis web menggunakan metode scrum,"… aplikasi ini juga tidak banyak. Tujuan dari penelitian ini adalah untuk merancang dan
membangun aplikasi penjualan online berbasis web … Hasil penelitian ini adalah sebuah aplikasi …","0,323811",1,1,1,1.0,1,Relevan,,157,Matched
70,aplikasi web,Web Application,5,89,web application,Penerapan Metode Waterfall Pada Aplikasi Reservasi Lapangan Futsal Berbasis Web,"… Hasil dari penelitian ini berupa sebuah aplikasi berbasis web yang … Aplikasi yang telah
dibuat dapat berjalan dengan baik. Kata Kunci: Aplikasi; Black Box; Penjadwalan; Waterfall; Web …","0,32246",1,1,1,1.0,1,Relevan,,164,Matched
71,aplikasi web,Web Application,6,96,web application,Digitalisasi Usaha Mikro Kecil Dan Menengah Di Desa Melalui Aplikasi Kede Desa Berbasis Web,"… penjualan melalui sistem yang berbasis web. Aplikasi Web dapat berjalan pada jaringan …
dalam akses adalah ciri utama yang membuat Aplikasi Web lebih banyak diminati dan lebih …","0,311815",1,1,1,1.0,1,Relevan,,171,Matched
72,aplikasi web,Web Application,7,76,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …","0,285943",0,1,1,1.0,1,Relevan,,151,Matched
73,aplikasi web,Web Application,8,87,web application,Rancang Bangun Aplikasi Penjualan Kebutuhan Pokok Berbasis Web Pada Toko Khansaa,"… belum adanya aplikasi penjualan berbasis web kebutuhan … bangun aplikasi penjualan
kebutuhan pokok berbasis web di … ini adalah sebuah aplikasi penjualan berbasis web di toko …","0,283615",0,1,1,1.0,1,Relevan,,162,Matched
74,aplikasi web,Web Application,9,90,web application,Implementasi Web Service Sebagai Penyedia Informasi Untuk Aplikasi Pengelolaan Jadwal Pemberian Pakan Ikan (Studi Kasus: Pokdakan Karya Bersama),"… solusi dengan membangun web service sebagai … web service. Hasil dari penelitian ini
adalah pengembangan sistem layanan web yang mampu memberikan informasi untuk aplikasi …","0,245791",0,1,1,1.0,1,Relevan,,165,Matched
75,aplikasi web,Web Application,10,88,web application,Aplikasi Marketplace Pendamping Wisata Dengan Api Maps Berbasis Mobile Dan Web,"… Salah satu keuntungan membangun aplikasi berbasis website adalah karena website tidak
… terhadap aplikasi web, karena pengguna mengakses server tempat website diletakkan …","0,245176",0,1,0,1.0,1,Relevan,,163,Matched
76,aplikasi web,Web Application,11,85,web application,Rancang bangun aplikasi e-cuti pegawai berbasis website (studi kasus: Pengadilan Tata Usaha Negara),"… Aplikasi yang direncanakan dalam bentuk website ini … Aplikasi web adalah suatu sistem
informasi yang mendukung interaksi dengan pengguna melalui antarmuka berbasis web. …","0,234805",0,1,1,1.0,1,Relevan,,161,Matched
77,aplikasi web,Web Application,12,62,web application,Development of interactive biological web applications with R/Shiny,"… web techniques used to build biological web applications in recent studies To get a full picture
of the web techniques utilized to build biological web applications … issues of web servers …","0,231258",0,1,1,1.0,1,Relevan,,187,Matched
78,aplikasi web,Web Application,13,79,web application,Pembuatan aplikasi penjualan berbasis web monja store menggunakan php dan mysql,"… software ataupun tampilan website dengan lebih mudah, cepat, dan … Gunakan aplikasi web
server ini sebagai tools bantuan … website perancangan aplikasi penjualan berbasis website …","0,227021",0,1,1,1.0,1,Relevan,,154,Matched
79,aplikasi web,Web Application,14,92,web application,Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web,"… ini adalah sebuah aplikasi web untuk mengelola keanggotaan gym, yang dapat diakses
oleh admin dan pengguna melalui komputer atau perangkat mobile. Aplikasi ini dikembangkan …","0,223398",0,1,1,1.0,1,Relevan,,168,Matched
80,aplikasi web,Web Application,15,133,mobile application,Aplikasi Mobile JKN Edukasi Tentang Penggunaan Aplikasi Mobile JKN Pada Pasien Rawat Jalan RSUD Anugerah Tomohon,"… kurangnya pengetahuan masyarakat mengenai penggunaan aplikasi Mobile JKN. Selain
itu… , aplikasi Mobile JKN merupakan aplikasi yang dapat digunakan pada smartphone. Aplikasi …","0,220582",0,0,1,1.0,1,Relevan,,107,Matched
81,aplikasi web,Web Application,16,86,web application,Rancang Bangun Web Service Api Aplikasi Sentralisasi Produk Umkm Pada Uptd Plut Kumkm Provinsi Lampung,"… Penelitian ini dilakukan untuk membuat sebuah aplikasi atau sistem yang dapat … aplikasi
ini menggunakan metode Web Service API, yang akan menghubungkan antara website …","0,219964",0,1,1,1.0,1,Relevan,,160,Matched
82,aplikasi web,Web Application,17,52,web application,A survey on web application penetration testing,"… Due to their nature, web applications and services are prone to security risks because they …
the Internet and web applications become more widespread, every web application needs an …","0,208125",0,1,1,1.0,1,Relevan,,177,Matched
83,aplikasi web,Web Application,18,84,web application,Perancangan Aplikasi Pemesanan Makanan Berbasis Web,"… berbasis web. Aplikasi ini membuat rancangan menu makanan dilengkapi dengan tampilan
gambar dan daftar harga yang sesuai dengan jenis makanan yang tersedia. Aplikasi ini …","0,206702",0,1,1,1.0,1,Relevan,,159,Matched
84,aplikasi web,Web Application,19,134,mobile application,Tingkat kepuasan masyarakat terhadap pendaftaran online pada aplikasi Mobile JKN,"… mudah menggunakan aplikasi, dan puas karena fitur yang ada pada aplikasi lengkap, hal
… ini di analogikan aplikasi dan kelengkapan fitur aplikasi mobile JKN memiliki pengaruh …","0,205278",0,0,1,0.0,0,Tidak Relevan,,109,Matched
85,aplikasi web,Web Application,20,130,mobile application,Peluang Penelitian UI/UX pada Pengembangan Aplikasi Mobile: Systematic literature review,"… oleh developer mobile apps [1]. Banyaknya aplikasi mobile yang ada di era digital ini
membuat para pengembang aplikasi mobile giat untuk membuat aplikasi yang menarik dan …","0,20093",0,0,1,0.0,0,Tidak Relevan,,104,Matched
86,sistem informasi berbasis web,Web Application,1,90,web application,Implementasi Web Service Sebagai Penyedia Informasi Untuk Aplikasi Pengelolaan Jadwal Pemberian Pakan Ikan (Studi Kasus: Pokdakan Karya Bersama),"… solusi dengan membangun web service sebagai … web service. Hasil dari penelitian ini
adalah pengembangan sistem layanan web yang mampu memberikan informasi untuk aplikasi …","0,324498",1,1,1,1.0,1,Relevan,,165,Matched
87,sistem informasi berbasis web,Web Application,2,85,web application,Rancang bangun aplikasi e-cuti pegawai berbasis website (studi kasus: Pengadilan Tata Usaha Negara),"… Aplikasi yang direncanakan dalam bentuk website ini … Aplikasi web adalah suatu sistem
informasi yang mendukung interaksi dengan pengguna melalui antarmuka berbasis web. …","0,303364",1,1,1,1.0,1,Relevan,,161,Matched
88,sistem informasi berbasis web,Web Application,3,91,web application,Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop,"… Web adalah suatu layanan atau kumpulan halaman yang berisi informasi, iklan, serta program
aplikasi yang … adalah sebuah aplikasi pendukung untuk membuka software aplikasi web …","0,22786",0,1,0,1.0,1,Relevan,,167,Matched
