id,title,full_text,cleaned,tokens,tokens_clean,tokens_stemmed,cleaned_text
11,Using machine learning to detect misstatements,"Using machine learning to detect misstatements … Intuitively, a machine learning algorithm can be taught to … Machine learning algorithms
capture the relationship … We also examine a number of alternative machine learning approaches …",Using machine learning to detect misstatements Intuitively a machine learning algorithm can be taught to Machine learning algorithms capture the relationship We also examine a number of alternative machine learning approaches,"['using', 'machine', 'learning', 'to', 'detect', 'misstatements', 'intuitively', 'a', 'machine', 'learning', 'algorithm', 'can', 'be', 'taught', 'to', 'machine', 'learning', 'algorithms', 'capture', 'the', 'relationship', 'we', 'also', 'examine', 'a', 'number', 'of', 'alternative', 'machine', 'learning', 'approaches']","['using', 'machine', 'learning', 'to', 'detect', 'misstatements', 'intuitively', 'machine', 'learning', 'algorithm', 'can', 'be', 'taught', 'to', 'machine', 'learning', 'algorithms', 'capture', 'the', 'relationship', 'we', 'also', 'examine', 'number', 'of', 'alternative', 'machine', 'learning', 'approaches']","['using', 'machine', 'learning', 'to', 'detect', 'misstatements', 'intuitively', 'machine', 'learning', 'algorithm', 'can', 'be', 'taught', 'to', 'machine', 'learning', 'algorithms', 'capture', 'the', 'relationship', 'we', 'also', 'examine', 'number', 'of', 'alternative', 'machine', 'learning', 'approaches']",using machine learning to detect misstatements intuitively machine learning algorithm can be taught to machine learning algorithms capture the relationship we also examine number of alternative machine learning approaches
12,A survey on the explainability of supervised machine learning,"A survey on the explainability of supervised machine learning … In the following sections, we structure the area of explainable supervised machine learning.
First, we describe the problem definitions and dimensions. Next, we introduce interpretable …",A survey on the explainability of supervised machine learning In the following sections we structure the area of explainable supervised machine learning First we describe the problem definitions and dimensions Next we introduce interpretable,"['a', 'survey', 'on', 'the', 'explainability', 'of', 'supervised', 'machine', 'learning', 'in', 'the', 'following', 'sections', 'we', 'structure', 'the', 'area', 'of', 'explainable', 'supervised', 'machine', 'learning', 'first', 'we', 'describe', 'the', 'problem', 'definitions', 'and', 'dimensions', 'next', 'we', 'introduce', 'interpretable']","['survey', 'on', 'the', 'explainability', 'of', 'supervised', 'machine', 'learning', 'in', 'the', 'following', 'sections', 'we', 'structure', 'the', 'area', 'of', 'explainable', 'supervised', 'machine', 'learning', 'first', 'we', 'describe', 'the', 'problem', 'definitions', 'and', 'dimensions', 'next', 'we', 'introduce', 'interpretable']","['survey', 'on', 'the', 'explainability', 'of', 'supervised', 'machine', 'learning', 'in', 'the', 'following', 'sections', 'we', 'structure', 'the', 'area', 'of', 'explainable', 'supervised', 'machine', 'learning', 'first', 'we', 'describe', 'the', 'problem', 'definitions', 'and', 'dimensions', 'next', 'we', 'introduce', 'interpretable']",survey on the explainability of supervised machine learning in the following sections we structure the area of explainable supervised machine learning first we describe the problem definitions and dimensions next we introduce interpretable
13,Challenges in deploying machine learning: a survey of case studies,"Challenges in deploying machine learning: a survey of case studies … This survey reviews published reports of deploying machine learning … of the machine
learning deployment workflow. By mapping found challenges to the steps of the machine learning …",Challenges in deploying machine learning a survey of case studies This survey reviews published reports of deploying machine learning of the machine learning deployment workflow By mapping found challenges to the steps of the machine learning,"['challenges', 'in', 'deploying', 'machine', 'learning', 'a', 'survey', 'of', 'case', 'studies', 'this', 'survey', 'reviews', 'published', 'reports', 'of', 'deploying', 'machine', 'learning', 'of', 'the', 'machine', 'learning', 'deployment', 'workflow', 'by', 'mapping', 'found', 'challenges', 'to', 'the', 'steps', 'of', 'the', 'machine', 'learning']","['challenges', 'in', 'deploying', 'machine', 'learning', 'survey', 'of', 'case', 'studies', 'this', 'survey', 'reviews', 'published', 'reports', 'of', 'deploying', 'machine', 'learning', 'of', 'the', 'machine', 'learning', 'deployment', 'workflow', 'by', 'mapping', 'found', 'challenges', 'to', 'the', 'steps', 'of', 'the', 'machine', 'learning']","['challenges', 'in', 'deploying', 'machine', 'learning', 'survey', 'of', 'case', 'studies', 'this', 'survey', 'reviews', 'published', 'reports', 'of', 'deploying', 'machine', 'learning', 'of', 'the', 'machine', 'learning', 'deployment', 'workflow', 'by', 'mapping', 'found', 'challenges', 'to', 'the', 'steps', 'of', 'the', 'machine', 'learning']",challenges in deploying machine learning survey of case studies this survey reviews published reports of deploying machine learning of the machine learning deployment workflow by mapping found challenges to the steps of the machine learning
14,"Machine learning operations (mlops): Overview, definition, and architecture","Machine learning operations (mlops): Overview, definition, and architecture … ABSTRACT The final goal of all industrial machine learning (ML) projects is to develop
ML … The paradigm of Machine Learning Operations (MLOps) addresses this issue. MLOps …",Machine learning operations mlops Overview definition and architecture ABSTRACT The final goal of all industrial machine learning ML projects is to develop ML The paradigm of Machine Learning Operations MLOps addresses this issue MLOps,"['machine', 'learning', 'operations', 'mlops', 'overview', 'definition', 'and', 'architecture', 'abstract', 'the', 'final', 'goal', 'of', 'all', 'industrial', 'machine', 'learning', 'ml', 'projects', 'is', 'to', 'develop', 'ml', 'the', 'paradigm', 'of', 'machine', 'learning', 'operations', 'mlops', 'addresses', 'this', 'issue', 'mlops']","['machine', 'learning', 'operations', 'mlops', 'overview', 'definition', 'and', 'architecture', 'abstract', 'the', 'final', 'goal', 'of', 'all', 'industrial', 'machine', 'learning', 'ml', 'projects', 'is', 'to', 'develop', 'ml', 'the', 'paradigm', 'of', 'machine', 'learning', 'operations', 'mlops', 'addresses', 'this', 'issue', 'mlops']","['machine', 'learning', 'operations', 'mlops', 'overview', 'definition', 'and', 'architecture', 'abstract', 'the', 'final', 'goal', 'of', 'all', 'industrial', 'machine', 'learning', 'ml', 'projects', 'is', 'to', 'develop', 'ml', 'the', 'paradigm', 'of', 'machine', 'learning', 'operations', 'mlops', 'addresses', 'this', 'issue', 'mlops']",machine learning operations mlops overview definition and architecture abstract the final goal of all industrial machine learning ml projects is to develop ml the paradigm of machine learning operations mlops addresses this issue mlops
15,A survey on dataset quality in machine learning,"A survey on dataset quality in machine learning … of dataset quality in machine learning, including the definition of … of machine learning,
which can help improve the accuracy, efficiency, and generalization ability of machine learning …",A survey on dataset quality in machine learning of dataset quality in machine learning including the definition of of machine learning which can help improve the accuracy efficiency and generalization ability of machine learning,"['a', 'survey', 'on', 'dataset', 'quality', 'in', 'machine', 'learning', 'of', 'dataset', 'quality', 'in', 'machine', 'learning', 'including', 'the', 'definition', 'of', 'of', 'machine', 'learning', 'which', 'can', 'help', 'improve', 'the', 'accuracy', 'efficiency', 'and', 'generalization', 'ability', 'of', 'machine', 'learning']","['survey', 'on', 'dataset', 'quality', 'in', 'machine', 'learning', 'of', 'dataset', 'quality', 'in', 'machine', 'learning', 'including', 'the', 'definition', 'of', 'of', 'machine', 'learning', 'which', 'can', 'help', 'improve', 'the', 'accuracy', 'efficiency', 'and', 'generalization', 'ability', 'of', 'machine', 'learning']","['survey', 'on', 'dataset', 'quality', 'in', 'machine', 'learning', 'of', 'dataset', 'quality', 'in', 'machine', 'learning', 'including', 'the', 'definition', 'of', 'of', 'machine', 'learning', 'which', 'can', 'help', 'improve', 'the', 'accuracy', 'efficiency', 'and', 'generalization', 'ability', 'of', 'machine', 'learning']",survey on dataset quality in machine learning of dataset quality in machine learning including the definition of of machine learning which can help improve the accuracy efficiency and generalization ability of machine learning
16,A review of the application of machine learning in water quality evaluation,"A review of the application of machine learning in water quality evaluation … Additionally, machine learning can provide solutions for water … In this review, we describe
the cases in which machine learning … of machine learning approaches to water environments. …",A review of the application of machine learning in water quality evaluation Additionally machine learning can provide solutions for water In this review we describe the cases in which machine learning of machine learning approaches to water environments,"['a', 'review', 'of', 'the', 'application', 'of', 'machine', 'learning', 'in', 'water', 'quality', 'evaluation', 'additionally', 'machine', 'learning', 'can', 'provide', 'solutions', 'for', 'water', 'in', 'this', 'review', 'we', 'describe', 'the', 'cases', 'in', 'which', 'machine', 'learning', 'of', 'machine', 'learning', 'approaches', 'to', 'water', 'environments']","['review', 'of', 'the', 'application', 'of', 'machine', 'learning', 'in', 'water', 'quality', 'evaluation', 'additionally', 'machine', 'learning', 'can', 'provide', 'solutions', 'for', 'water', 'in', 'this', 'review', 'we', 'describe', 'the', 'cases', 'in', 'which', 'machine', 'learning', 'of', 'machine', 'learning', 'approaches', 'to', 'water', 'environments']","['review', 'of', 'the', 'application', 'of', 'machine', 'learning', 'in', 'water', 'quality', 'evaluation', 'additionally', 'machine', 'learning', 'can', 'provide', 'solutions', 'for', 'water', 'in', 'this', 'review', 'we', 'describe', 'the', 'cases', 'in', 'which', 'machine', 'learning', 'of', 'machine', 'learning', 'approaches', 'to', 'water', 'environments']",review of the application of machine learning in water quality evaluation additionally machine learning can provide solutions for water in this review we describe the cases in which machine learning of machine learning approaches to water environments
17,Agricultural databases evaluation with machine learning procedure,"Agricultural databases evaluation with machine learning procedure … machine learning techniques to agricultural databases. W e have designed and implemented
a machine learning … dataset using a variety of machine learning schemes, and has several …",Agricultural databases evaluation with machine learning procedure machine learning techniques to agricultural databases W e have designed and implemented a machine learning dataset using a variety of machine learning schemes and has several,"['agricultural', 'databases', 'evaluation', 'with', 'machine', 'learning', 'procedure', 'machine', 'learning', 'techniques', 'to', 'agricultural', 'databases', 'w', 'e', 'have', 'designed', 'and', 'implemented', 'a', 'machine', 'learning', 'dataset', 'using', 'a', 'variety', 'of', 'machine', 'learning', 'schemes', 'and', 'has', 'several']","['agricultural', 'databases', 'evaluation', 'with', 'machine', 'learning', 'procedure', 'machine', 'learning', 'techniques', 'to', 'agricultural', 'databases', 'have', 'designed', 'and', 'implemented', 'machine', 'learning', 'dataset', 'using', 'variety', 'of', 'machine', 'learning', 'schemes', 'and', 'has', 'several']","['agricultural', 'databases', 'evaluation', 'with', 'machine', 'learning', 'procedure', 'machine', 'learning', 'techniques', 'to', 'agricultural', 'databases', 'have', 'designed', 'and', 'implemented', 'machine', 'learning', 'dataset', 'using', 'variety', 'of', 'machine', 'learning', 'schemes', 'and', 'has', 'several']",agricultural databases evaluation with machine learning procedure machine learning techniques to agricultural databases have designed and implemented machine learning dataset using variety of machine learning schemes and has several
18,An overview of machine learning classification techniques,"An overview of machine learning classification techniques … statistical learning and pattern recognition, machine learning now … between statistics and
machine learning is evident, with … core of machine learning lies the concept of self-learning, a …",An overview of machine learning classification techniques statistical learning and pattern recognition machine learning now between statistics and machine learning is evident with core of machine learning lies the concept of self learning a,"['an', 'overview', 'of', 'machine', 'learning', 'classification', 'techniques', 'statistical', 'learning', 'and', 'pattern', 'recognition', 'machine', 'learning', 'now', 'between', 'statistics', 'and', 'machine', 'learning', 'is', 'evident', 'with', 'core', 'of', 'machine', 'learning', 'lies', 'the', 'concept', 'of', 'self', 'learning', 'a']","['an', 'overview', 'of', 'machine', 'learning', 'classification', 'techniques', 'statistical', 'learning', 'and', 'pattern', 'recognition', 'machine', 'learning', 'now', 'between', 'statistics', 'and', 'machine', 'learning', 'is', 'evident', 'with', 'core', 'of', 'machine', 'learning', 'lies', 'the', 'concept', 'of', 'self', 'learning']","['an', 'overview', 'of', 'machine', 'learning', 'classification', 'techniques', 'statistical', 'learning', 'and', 'pattern', 'recognition', 'machine', 'learning', 'now', 'between', 'statistics', 'and', 'machine', 'learning', 'is', 'evident', 'with', 'core', 'of', 'machine', 'learning', 'lies', 'the', 'concept', 'of', 'self', 'learning']",an overview of machine learning classification techniques statistical learning and pattern recognition machine learning now between statistics and machine learning is evident with core of machine learning lies the concept of self learning
19,A systematic review of teaching and learning machine learning in K-12 education,"A systematic review of teaching and learning machine learning in K-12 education … from being a contribution to the field of machine learning education as it systematically
synthesizes research conducted on teaching and learning machine learning at K-12 levels. The …",A systematic review of teaching and learning machine learning in K 12 education from being a contribution to the field of machine learning education as it systematically synthesizes research conducted on teaching and learning machine learning at K 12 levels The,"['a', 'systematic', 'review', 'of', 'teaching', 'and', 'learning', 'machine', 'learning', 'in', 'k', '12', 'education', 'from', 'being', 'a', 'contribution', 'to', 'the', 'field', 'of', 'machine', 'learning', 'education', 'as', 'it', 'systematically', 'synthesizes', 'research', 'conducted', 'on', 'teaching', 'and', 'learning', 'machine', 'learning', 'at', 'k', '12', 'levels', 'the']","['systematic', 'review', 'of', 'teaching', 'and', 'learning', 'machine', 'learning', 'in', '12', 'education', 'from', 'being', 'contribution', 'to', 'the', 'field', 'of', 'machine', 'learning', 'education', 'as', 'it', 'systematically', 'synthesizes', 'research', 'conducted', 'on', 'teaching', 'and', 'learning', 'machine', 'learning', 'at', '12', 'levels', 'the']","['systematic', 'review', 'of', 'teaching', 'and', 'learning', 'machine', 'learning', 'in', '12', 'education', 'from', 'being', 'contribution', 'to', 'the', 'field', 'of', 'machine', 'learning', 'education', 'as', 'it', 'systematically', 'synthesizes', 'research', 'conducted', 'on', 'teaching', 'and', 'learning', 'machine', 'learning', 'at', '12', 'levels', 'the']",systematic review of teaching and learning machine learning in 12 education from being contribution to the field of machine learning education as it systematically synthesizes research conducted on teaching and learning machine learning at 12 levels the
20,A survey of human-in-the-loop for machine learning,"A survey of human-in-the-loop for machine learning … posed by machine learning … machine learning. Human-in-the-loop is an area that we see
as increasingly important in future research due to the knowledge learned by machine learning …",A survey of human in the loop for machine learning posed by machine learning machine learning Human in the loop is an area that we see as increasingly important in future research due to the knowledge learned by machine learning,"['a', 'survey', 'of', 'human', 'in', 'the', 'loop', 'for', 'machine', 'learning', 'posed', 'by', 'machine', 'learning', 'machine', 'learning', 'human', 'in', 'the', 'loop', 'is', 'an', 'area', 'that', 'we', 'see', 'as', 'increasingly', 'important', 'in', 'future', 'research', 'due', 'to', 'the', 'knowledge', 'learned', 'by', 'machine', 'learning']","['survey', 'of', 'human', 'in', 'the', 'loop', 'for', 'machine', 'learning', 'posed', 'by', 'machine', 'learning', 'machine', 'learning', 'human', 'in', 'the', 'loop', 'is', 'an', 'area', 'that', 'we', 'see', 'as', 'increasingly', 'important', 'in', 'future', 'research', 'due', 'to', 'the', 'knowledge', 'learned', 'by', 'machine', 'learning']","['survey', 'of', 'human', 'in', 'the', 'loop', 'for', 'machine', 'learning', 'posed', 'by', 'machine', 'learning', 'machine', 'learning', 'human', 'in', 'the', 'loop', 'is', 'an', 'area', 'that', 'we', 'see', 'as', 'increasingly', 'important', 'in', 'future', 'research', 'due', 'to', 'the', 'knowledge', 'learned', 'by', 'machine', 'learning']",survey of human in the loop for machine learning posed by machine learning machine learning human in the loop is an area that we see as increasingly important in future research due to the knowledge learned by machine learning
