id,title,abstract,authors,source,year,citations,url,scraped_at,scrape_status,pdf_url
15,Pelatihan Desain Pembuatan Website di PT Abisakti Surya Megakon,"… Metode Pelatihan pembuatan website yaitu membuat website untuk PT.Abisakti Surya …
referensi pembuatan website. Pada minggu kedua kegiatan kami yaitu mengkoding website yang …","F Yudianto, T Herlambang…",academia.edu,2022,26,https://www.academia.edu/download/100388197/451.pdf,2026-02-02 18:11:46.835592+00,pdf_url_only,https://www.academia.edu/download/100388197/451.pdf
16,Pembuatan Website Sebagai Sarana Promosi Produk Kelompok Pidra Desa Gawang Kecamatan Kebonagung Kabupaten Pacitan,"… lebih efisien seperti halnya pembuatan website. PIDRA … website yang didalamnya terdapat
banyak informasi tentang wisata museum yang ada di kota Yogyakarta. Pembuatan website …","IN Indah, L Yulianto",ijns.org,2012,64,http://www.ijns.org/journal/index.php/speed/article/view/1155,2026-02-02 18:11:52.465747+00,pdf_url_only,http://www.ijns.org/journal/index.php/speed/article/viewFile/1155/1143
17,Pembuatan Website Menggunakan Visual Studio Code di SMA Xaverius 3 Palembang,"… 3 dengan tema Pelatihan Pembuatan Website menggunakan Visual Studio Code … pembuatan
website dan meningkatkan rasa percaya diri tiap peserta mengenai design website yang …","N Wilyanto, J Firnando, B Franko, SP Tanzil, HC Tan…",jurnal.mdp.ac.id,2023,64,https://jurnal.mdp.ac.id/index.php/fordicate/article/view/5057,2026-02-02 18:12:07.247528+00,pdf_downloaded,https://jurnal.mdp.ac.id/index.php/fordicate/article/download/5057/1638
18,9 Langkah Praktis Membuat Website Gratis,"… Walaupun bab ini membahas persiapan dalam pembuatan website, tidak ada salahnya
kita sedikit membahas seperti apa persiapan yang kita perlukan jika membuat website tanpa …",R Rachmanto,books.google.com,2017,49,https://books.google.com/books?hl=id&lr=&id=ci5IDwAAQBAJ&oi=fnd&pg=PP1&dq=pembuatan+website&ots=VYpSMRLW0r&sig=pCtmZPpHVLWOPVtqp_1SUKUgEyc,2026-02-02 18:12:14.527857+00,metadata_only,
19,Pelatihan Pembuatan Website Portal dengan Menggunakan Wordpress untuk Siswa/Siswi SMA Negeri 6 Palembang,"… CMS merupakan alternatif pembuatan website yang dapat … ini memberikan pelatihan
pembuatan website dengan … praktik bersama dalam pembuatan website menggunakan …","A Farisi, N Rachmat, ME Al Rivan",researchgate.net,2022,53,https://www.researchgate.net/profile/Muhammad-Rivan/publication/357675160_Pelatihan_Pembuatan_Website_Portal_dengan_Menggunakan_Wordpress_untuk_SiswaSiswi_SMA_Negeri_6_Palembang/links/67c127b396e7fb48b9d23267/Pelatihan-Pembuatan-Website-Portal-dengan-Menggunakan-Wordpress-untuk-Siswa-Siswi-SMA-Negeri-6-Palembang.pdf,2026-02-02 18:12:38.639116+00,pdf_url_only,https://www.researchgate.net/profile/Muhammad-Rivan/publication/357675160_Pelatihan_Pembuatan_Website_Portal_dengan_Menggunakan_Wordpress_untuk_SiswaSiswi_SMA_Negeri_6_Palembang/links/67c127b396e7fb48b9d23267/Pelatihan-Pembuatan-Website-Portal-dengan-Menggunakan-Wordpress-untuk-Siswa-Siswi-SMA-Negeri-6-Palembang.pdf
20,"Gampang dan gratis membuat website: Web personal, organisasi dan komersil","… ini adalah sebuah website, di dalam website kita … website sudah bukan menjadi kebutuhan
perusahaan-perusahaan yang bergerak di bidang informasi saja, tetapi kepemilikian website …",S Azis,books.google.com,2013,72,https://books.google.com/books?hl=id&lr=&id=mbfXCQAAQBAJ&oi=fnd&pg=PA7&dq=pembuatan+website&ots=NXHKUpdqKZ&sig=WPHTQ1pK0j_47pYfaSmpZw2_wno,2026-02-02 18:12:42.413987+00,metadata_only,
21,Otodidak Web Programming: Membuat Website Edutainment,"… Tahap Assembly adalah tahap pembuatan semua objek atau bahan multimedia.
Pembuatan aplikasi didasarkan pada tahap design, bagan alir, dan/atau struktur navigasi. …",MI Saad,books.google.com,2020,296,https://books.google.com/books?hl=id&lr=&id=I73NDwAAQBAJ&oi=fnd&pg=PP1&dq=pembuatan+website&ots=1U5-JmRuNc&sig=tW_YnXm3H06Ab-ULrzzx6BC80Rc,2026-02-02 18:32:28.308071+00,metadata_only,
22,Membuat website powerfull menggunakan PHP,"… Hal yang perlu diperhatikan dalam pembuatan web adalah kreatifitas dalam membangun
komposisi warna dan gambar, agar tampilan web terlihat lebih menarik. Kekuatan sebuah …",DP Oktavian,books.google.com,2013,114,https://books.google.com/books?hl=id&lr=&id=rplCEAAAQBAJ&oi=fnd&pg=PA5&dq=pembuatan+website&ots=-21RPVArIJ&sig=_z5rSOVh919Icf6DRmbA3cnedR0,2026-02-02 18:32:40.935456+00,metadata_only,
23,Kiat jitu membuat website tanpa modal,"… website terhosting gratisan berjenis blog, maka multiply merupakan layanan pembuatan
website terhosting gratisan berjenis website … dan sharing file menggunakan media website. …",A Zaki,books.google.com,2009,90,https://books.google.com/books?hl=id&lr=&id=IjRE7wePwhAC&oi=fnd&pg=PA153&dq=pembuatan+website&ots=vsWonuQiTf&sig=fYanEU2LqFiWilh2m_X_87Qg6cw,2026-02-02 18:32:55.454651+00,metadata_only,
24,9 Langkah Praktis Membuat Website Gratis,"… Walaupun bab ini membahas persiapan dalam pembuatan website, tidak ada salahnya
kita sedikit membahas seperti apa persiapan yang kita perlukan jika membuat website tanpa …",R Rachmanto,books.google.com,2017,49,https://books.google.com/books?hl=id&lr=&id=ci5IDwAAQBAJ&oi=fnd&pg=PP1&dq=pembuatan+website&ots=VYpSMRMZ2q&sig=6yxfR8DpW2O6SVC06NzZzgF_slU,2026-02-02 18:33:47.767746+00,metadata_only,
25,"Gampang dan gratis membuat website: Web personal, organisasi dan komersil","… ini adalah sebuah website, di dalam website kita … website sudah bukan menjadi kebutuhan
perusahaan-perusahaan yang bergerak di bidang informasi saja, tetapi kepemilikian website …",S Azis,books.google.com,2013,72,https://books.google.com/books?hl=id&lr=&id=mbfXCQAAQBAJ&oi=fnd&pg=PA7&dq=pembuatan+website&ots=NXHKUpetMY&sig=NpYGIEeXQFBdb8w3e49cGTXXpaI,2026-02-02 18:34:12.47383+00,metadata_only,
26,Pembuatan Website Tempat Pariwisata Rumah Dome New Nglepen,"… Dalam penelitian ini penulis membatasi pada masalah pembuatan website dengan PHP …
keberadaan tempat ini kepada semua orang di dunia yang disajikan dalam bentuk website. …",RB Kuncoro,ijns.org,2013,48,http://www.ijns.org/journal/index.php/speed/article/view/1160,2026-02-02 18:34:44.669779+00,pdf_url_only,http://www.ijns.org/journal/index.php/speed/article/download/1160/1148
27,Pembuatan Website Profil Sekolah Dasar Negeri 03 Kalisoro,"… Santoso membahas tentang pembuatan web profil Roso … Budhi Santoso mendalami tentang
pembuatan web profil Roso … penulis membahas tentang pembuatan website profile untuk …","P Winoto, TI Tjendrowaseno",ijns.org,2013,30,http://ijns.org/journal/index.php/speed/article/view/1144,2026-02-02 18:34:49.200755+00,pdf_url_only,http://www.ijns.org/journal/index.php/speed/article/download/1144/1132
28,Pendampingan pembuatan website Desa Gunung Malelo untuk mempermudah penyebaran informasi desa,"… Pembuatan website desa menjadi solusi yang tepat untuk mengatasi tantangan ini. Situs
website atau laman web adalah rangkaian informasi yang terdiri dari halamanhalaman web …","AM Priyatno, FI Firmananda…",staff.universitaspahlawan.ac.id,2023,28,https://staff.universitaspahlawan.ac.id/upload/pengabdian/603-pengabdian.pdf,2026-02-02 18:34:53.037217+00,pdf_downloaded,https://staff.universitaspahlawan.ac.id/upload/pengabdian/603-pengabdian.pdf
29,Pembuatan website desa wisata Kabupaten Maros,"… serta pengujian website untuk menghindari adanya bug dalam sistem. … Pembuatan Website
Terakhir yaitu melakukan proses deployment, yaitu proses menyebarkan aplikasi website …","A Ismail, MA Safaqdillah, M Yusran…",journal.unhas.ac.id,2022,20,http://journal.unhas.ac.id/index.php/jpmh/article/view/22429,2026-02-02 18:34:59.052102+00,pdf_downloaded,http://journal.unhas.ac.id/index.php/jpmh/article/download/22429/8709
30,"Pembuatan Website Desa Buaran, Mayong, Jepara","… dan Dosen Pembimbing memberikan bantuan pembuatan website untuk memperluas
informasi yang ada di Desa Buaran. Pembuatan website dimaksudkan untuk lebih mengekspos …","D Tauhida, A Hakim…",ejurnal.ubharajaya.ac.id,2022,10,https://ejurnal.ubharajaya.ac.id/index.php/JSTPM/article/download/1158/871,2026-02-02 18:35:30.444637+00,pdf_downloaded,https://ejurnal.ubharajaya.ac.id/index.php/JSTPM/article/download/1158/871
31,Perancangan Dan Pembuatan Website Penjualan Biji Kopi Pada Society Coffee House Purwokerto,"… sama sekali belum memiliki website sedangkan di kafe ini … Maka dari itu, perancangan dan
pembuatan website berguna … online serta ingin mempunyai website sebagai media promosi …","FFD Imaniawan, HM Nur",researchgate.net,2019,66,https://www.researchgate.net/profile/Fabriyan-Fandi-Dwi-Imaniawan/publication/333847269_PERANCANGAN_DAN_PEMBUATAN_WEBSITE_PENJUALAN_BIJI_KOPI_PADA_SOCIETY_COFFEE_HOUSE_PURWOKERTO/links/6050195a92851cd8ce440e5b/PERANCANGAN-DAN-PEMBUATAN-WEBSITE-PENJUALAN-BIJI-KOPI-PADA-SOCIETY-COFFEE-HOUSE-PURWOKERTO.pdf,2026-02-02 18:35:34.267012+00,pdf_url_only,https://www.researchgate.net/profile/Fabriyan-Fandi-Dwi-Imaniawan/publication/333847269_PERANCANGAN_DAN_PEMBUATAN_WEBSITE_PENJUALAN_BIJI_KOPI_PADA_SOCIETY_COFFEE_HOUSE_PURWOKERTO/links/6050195a92851cd8ce440e5b/PERANCANGAN-DAN-PEMBUATAN-WEBSITE-PENJUALAN-BIJI-KOPI-PADA-SOCIETY-COFFEE-HOUSE-PURWOKERTO.pdf
32,Pembuatan Website Company Profile Pada Konoba Coffee Menggunakan CMS Wordpress,"… Pembuatan website company profile Konoba Coffee yaitu perencanaan, analisis kebutuhan,
desain website, pembuatan website … halaman website menggunakan plugin Elementor. 3. …",D Fauziyyah,journal.ebizmark.id,2023,24,https://journal.ebizmark.id/index.php/abaj/article/view/91,2026-02-02 18:35:37.489972+00,pdf_downloaded,https://journal.ebizmark.id/index.php/abaj/article/download/91/89
33,Pembuatan Website Sekolah Sebagai Media Informasi dan Promosi,"… dalam pembuatan website. Pada tahap pelaksanaan tim pengabdian membuat website …
Tahap evaluasi adalah tahap pemeriksaan terkait website sekolah yang telah dibuat. Tim …","R Hammad, AS Anas, P Irfan…",journal.sekawan-org.id,2022,21,https://journal.sekawan-org.id/index.php/bakwan/article/view/216,2026-02-02 18:35:42.582709+00,pdf_downloaded,https://journal.sekawan-org.id/index.php/bakwan/article/download/216/147
34,Membuat website PHP dengan CodeIgniter,"CodeIgniter adalah framework PHP yang bisa digunakan untuk menyederhanakan script
dan mengoptimalkan fungsi PHP. Buku ini ditujukan bagi para web developer yang ingin …",J Enterprise,books.google.com,2015,78,https://books.google.com/books?hl=id&lr=&id=qE1JDwAAQBAJ&oi=fnd&pg=PP1&dq=pembuatan+website&ots=G71jEANMMj&sig=LGFdw1MAcyjU11m7nOnNV4QusAU,2026-02-02 18:35:48.394338+00,metadata_only,
35,Pelatihan Pembuatan Website Wix Untuk UMKM,"… pengetahuan UMKM dalam merancang website untuk usahanya dengan … cara pembuatan
dan pemanfaatan website Wix. Hasil dari pelatihan ini adalah sebuah produk berupa website …","Y Cahyaningrum, DR Puspananda…",jurnal.seaninstitute.or.id,2023,12,https://jurnal.seaninstitute.or.id/index.php/abdimas/article/view/156,2026-02-02 18:36:18.594049+00,pdf_downloaded,https://jurnal.seaninstitute.or.id/index.php/abdimas/article/download/156/110
36,Pembuatan Website Profil Sekolah Menengah Kejuruan (SMK) Miftahul Huda Ngadirojo,"… Kerja Praktik pembuatan Website Profil Sekolah dan akhirnya website tersebut benar-benar
bisa dimanfaatkan oleh SMK Miftahul Huda untuk menyampaikan informasi dengan efektif. …",DA Rivai,ijns.org,2012,35,http://ijns.org/journal/index.php/ijns/article/view/242,2026-02-02 18:36:33.883132+00,pdf_url_only,http://ijns.org/journal/index.php/ijns/article/download/242/236
37,Peningkatan Digitalisasi Melalui Pembuatan Website di Taman Pendidikan Al-Qur'an Nurul Haqq Sidoarjo,"… website di sekolah. Dengan kegiatan pengabdian masyarakat berbasis digitalisasi ini, edukasi
digital terkait pengenalan website dengan pembelajaran pembuatan website di … website …","RPN Budiarti, DB Magfira, NS Meutia…",journal.unisnu.ac.id,2022,19,https://journal.unisnu.ac.id/khairaummah/article/view/373,2026-02-02 18:36:38.27498+00,pdf_downloaded,https://journal.unisnu.ac.id/khairaummah/article/download/373/239
38,Pembuatan Website Arsyla Catering,"… Informasi pembuatan website dengan menggunakan xampp, mysql dan … pada website. d)
Tahap implementasi, menjelaskan pembuatan website yang berisi tentang proses pembuatan …","RA Rivani, EN Hartiwati, F Dwitama",journal.admi.or.id,2022,9,https://journal.admi.or.id/index.php/JUIT/article/view/315,2026-02-02 18:36:45.616885+00,pdf_downloaded,https://journal.admi.or.id/index.php/JUIT/article/download/315/343
39,Pembuatan Website Sistem Informasi Objek Wisata Menggunakan Pendekatan Object Oriented Analysis And Design (Ooad),"… Pembuatan website ini menggunakan pendekatan Object … dilihat pada website Dinas DKI
Jakarta dan website pemerintahan … judul penelitian “Pembuatan Website Sistem Informasi …",A Apandi,journal.admi.or.id,2023,19,https://journal.admi.or.id/index.php/JTS/article/view/633,2026-02-02 18:36:50.770573+00,pdf_downloaded,https://journal.admi.or.id/index.php/JTS/article/download/633/926
40,Pelatihan Pembuatan Website Dalam Menghadapi Perkembangan Teknologi Bagi Siswa Di SMK Galajuara Bekasi: Pelatihan Website di SMK Galajuara Bekasi,"… pula kebutuhan dalam bidang pembuatan website. Kebutuhan dalam pembuatan website
tersebut tentunya membutuhkan tenaga ahli yang dapat membuat website sesuai dengan …","N Achmad, H Hafizah, D Hartanti…",ejurnal.ubharajaya.ac.id,2021,18,http://ejurnal.ubharajaya.ac.id/index.php/jucosco/article/view/592,2026-02-02 18:36:55.921107+00,pdf_downloaded,https://ejurnal.ubharajaya.ac.id/index.php/jucosco/article/download/592/539
41,"Pelatihan Pembuatan Website Desa Wisata di Desa Wisata Meler, Kabupaten Manggarai, NTT","… berfokus pada pelatihan pembutan website desa saja atas … Tim PkM pembuatan website
desa wisata ini berjumlah tiga … di atas, maka pelatihan pembuatan website desa wisata di …","S Menggo, YR Su, RA Taopan",journal.unilak.ac.id,2022,35,https://journal.unilak.ac.id/index.php/dinamisia/article/view/7551,2026-02-02 18:37:09.178722+00,pdf_url_only,https://journal.unilak.ac.id/index.php/dinamisia/article/download/7551/3789
42,Pelatihan Dan Pembuatan Website Menggunakan Html Dan Css,"… ini dengan sebuah pelatihan pembuatan website dengan menggunakan HTML ini sangat
… yang sangat baik untuk memperkenalkan dalam pembuatan website menggunakan HTML. …","I Kumalasari, AA Saputra…",ejournal.sagita.or.id,2023,44,http://ejournal.sagita.or.id/index.php/beujroh/article/view/41,2026-02-02 18:37:12.534629+00,pdf_downloaded,http://ejournal.sagita.or.id/index.php/beujroh/article/download/41/25
43,Perancangan dan Pembuatan Website dan Sosial Media di Desa Wisata Angsana,"… Wisata Angsana, berlangsung pembuatan website, dan media … menjelaskan kegiatan
pembangunan website dan media … Website, berperan sebagai wadah utama dalam menyajikan …","RD Djuardi, V Suhandi, V Jericho…",journals.upi-yai.ac.id,2024,17,http://journals.upi-yai.ac.id/index.php/IKRAITH-ABDIMAS/article/view/3005,2026-02-02 18:37:36.421584+00,pdf_downloaded,http://journals.upi-yai.ac.id/index.php/IKRAITH-ABDIMAS/article/download/3005/2178
44,Pembuatan website informasi & pendaftaran webinar umum menggunakan PHP & MYSQL,"… Pembuatan Website dengan PHP merupakan salah satu metode pengembangan aplikasi
… dan mengelola website yang interaktif dan dinamis [5]. Dalam pembuatan website dengan …",SM Arif,journal.stmikjayakarta.ac.id,2023,25,http://www.journal.stmikjayakarta.ac.id/index.php/jisamar/article/view/1168,2026-02-02 18:37:42.416322+00,pdf_downloaded,https://www.journal.stmikjayakarta.ac.id/index.php/jisamar/article/download/1168/765
45,Merancang & membuat website,"… Pada pembuatan website Helm SNI Online … website Pada pemaparan ini, sebagai bahan
suplemen tambahan perancangan dan pembuatan website, akan disampaikan pembuatan …","M Ary, U Adhirajasa, R Sanjaya",researchgate.net,2014,10,https://www.researchgate.net/profile/Maxsi-Ary/publication/325464781_MERANCANG_MEMBUAT_WEBSITE/links/5b0f8722aca2725783f41eae/MERANCANG-MEMBUAT-WEBSITE.pdf,2026-02-02 18:37:47.06975+00,pdf_url_only,https://www.researchgate.net/profile/Maxsi-Ary/publication/325464781_MERANCANG_MEMBUAT_WEBSITE/links/5b0f8722aca2725783f41eae/MERANCANG-MEMBUAT-WEBSITE.pdf
46,Pembuatan Website untuk Komunitas PPKM,"… The purpose of this thesis is making a website as a media of news, information and … Instagram
to the website. This research has been successfully created a website which is used as a …","KA Sahertian, DH Setiabudi, LW Santoso",neliti.com,2017,12,https://www.neliti.com/publications/110169/pembuatan-website-untuk-komunitas-ppkm,2026-02-02 18:37:51.982935+00,pdf_url_only,https://www.academia.edu/download/93616849/110169-ID-pembuatan-website-untuk-komunitas-ppkm.pdf
47,Pembuatan Website Profil Sekolah Menengah Pertama Negeri 1 Kalitidu Bojonegoro,"… a website for … website that profiles www. smpn1kalitidu. com used as media campaigns and
information to students, parents, guardians, and the community at large. But now the website …","D Khusnia, BK Riasti",ijns.org,2013,22,http://ijns.org/journal/index.php/ijns/article/view/248,2026-02-02 18:37:57.967559+00,pdf_url_only,http://www.ijns.org/journal/index.php/ijns/article/view/248/242
48,Penggunaan User Centered Design Dalam Pembuatan Website Portal Mgbk Sma Kota Malang,"… portal website untuk memudahkan proses bisnis organisasi dalam memberikan dampak
yang luas pada organisasi. Namun kendala yang sering muncul dalam pembuatan website …","H Nuril Hadi, A Tirtana, A Zulkarnain",repository.stiki.ac.id,2022,19,http://repository.stiki.ac.id/id/eprint/1790,2026-02-02 18:38:01.915164+00,pdf_downloaded,http://repository.stiki.ac.id/1790/1/Full%20Paper%20-%20Jurnal%20TEKNOINFO.pdf
49,Implementasi Web Development Life Cycle dalam Pembuatan Website Company Profile Ening Production,"… Website Development Life Cycle (WDLC) dipilih, karena WDLC memiliki serangkaian proses
dalam pembuatan website … dalam proses pembuatan website, yang mana website yang …","S Sulistiyanto, L Rahmi, NIH Kunio, E Asoka…",jurnal-id.com,2024,13,https://www.jurnal-id.com/index.php/jupin/article/view/324,2026-02-02 18:38:07.690907+00,pdf_downloaded,https://www.jurnal-id.com/index.php/jupin/article/download/324/208
50,Pembuatan Website Sebagai Media Promosi Wisata Pulau Mubut,"… Utilizing a website as a promotional medium is a good choice to achieve this… website that
can later be used as a means of promotion and training will be conducted in managing website …","S Sibagariang, Y Rokhayati, A Dzikri…",jurnal.polibatam.ac.id,2021,14,https://jurnal.polibatam.ac.id/index.php/AbdiMas/article/view/3694,2026-02-02 18:38:13.334171+00,pdf_downloaded,https://jurnal.polibatam.ac.id/index.php/AbdiMas/article/download/3694/1557
51,Pelatihan membuat website digital marketing dengan Google Site untuk meningkatkan kompetensi keahlian dikalangan mahasiswa,"… pendampingan kepada pembuatan website sederhana … pembuatan website. Hal tersebut
dilakukan untuk melihat pemahaman dan keterampilan peserta dalam pembuatan website …",LN Hakim,journal.pelitanusa.or.id,2022,25,https://journal.pelitanusa.or.id/index.php/komunita/article/view/23,2026-02-02 18:38:17.551512+00,pdf_downloaded,https://journal.pelitanusa.or.id/index.php/komunita/article/download/23/14
52,Pelatihan Pembuatan Website Profile untuk Peternak Ikan KOI Kota Blitar Berbasis Wordpress,"… website. Metode PkM ini dilakukan dengan cara pelatihan dimulai dari materi teori dilanjutkan
dengan praktik pembuatan website … ketrampilan dalam pembuatan website. Hasil akhir …","AK Nalendra, MN Fuad, M Mujiono…",journal.appipgri.id,2022,21,https://journal.appipgri.id/index.php/arc/article/view/38,2026-02-02 18:38:23.10448+00,pdf_downloaded,https://journal.appipgri.id/index.php/arc/article/download/38/13
